c0000 Human
c0100 Dummy
c0110 Dummy
c1000 Dummy
c2010 WolfHeadWarrior
c2030 ProlificRenala
c2031 ProlificRenala
c2040 RenalaChildren
c2041 RottenLarva
c2100 Black Knives
c2110 BlackSwordMariques
c2120 Marenia
c2130 Margit the Fell Omen
c2140 ShunnedChild
c2150 Wisp
c2180 Melina
c2190 MaricaOfDistorted
c2200 NebulaDragon
c2270 CrabBig
c2271 CrabMini
c2500 Crucible Knight Floh
c3000 LossRaceSoldier
c3010 LostKnight
c3020 LossRaceSoldierLarge
c3050 OldGeneral
c3060 DosouSkeleton
c3070 EaterAnOldWoman
c3080 InsectGolem
c3100 hagetakakishi
c3150 RuneHunterKnight
c3160 RuneHunterKnightHorse
c3170 WolfRider
c3180 WolfRiderWolf
c3181 RuneWolf
c3200 RedEyeGypsy
c3210 RedEyeGypsyDonkey
c3250 TreeGuardVariant
c3251 Tree Sentinel
c3252 TreeGuardMagic
c3300 MarikaLineageMan
c3310 MarikaLineageWoman
c3320 MarikaLineageSlime
c3330 MotherSlime
c3350 CrystalTribe
c3360 AncestorBeliever
c3370 AncestorBelieverFemale
c3400 Grave Warden
c3450 ChimeraJsBasetype
c3451 ChimeraJsScaletype
c3460 ChimeraJsLeotype
c3470 FrogHuman
c3500 DosouSkeleton
c3510 Skeleton
c3550 DaemonBloodLaity
c3560 GodSkinFatherSlim
c3570 GodSkinFatherFat
c3600 LightWalker
c3610 MoonServant_tibi
c3620 MoonServant_noppo
c3630 MoonServant_debu
c3640 MoonServant_baby
c3650 BugsEater
c3660 RuneSlaveSword
c3661 RottenDead
c3664 TombShadow
c3665 Gatekeeper
c3670 WitheredLeg
c3700 PerfumerCourt
c3702 PyroxeneMagician
c3703 FootPage
c3704 MagicMercenary
c3710 CrystalMagician
c3730 Magicianball
c3750 RuneEater
c3800 KnightofNoblerot
c3810 RottenKin
c3850 BalloonDoll
c3860 WingDoll_DS
c3900 FirePriestSoldierMace
c3910 HeavypriestofGiantsfire
c3950 GhoulChildrenWhip
c3970 Beastman of Farum Azula
c4000 NazgulVarlet
c4020 NazgulGrub
c4040 Namekuji
c4050 WarKingWarrior
c4060 WarKingWarriorHorse
c4070 Wolf
c4071 Wolf Pack Leader
c4080 FeralRat
c4090 FeralRatlarge
c4100 DemiHuman
c4101 DemiHuman_Elite
c4110 DemiHumanRunt
c4120 Demi-Human Chief
c4130 DemiHumanKing
c4140 SnakeSnail
c4150 Basilisk
c4160 FeralDog
c4161 FeralDogSmall
c4170 WriggleCarrion
c4180 Reikurage
c4190 ScarabLarge
c4191 Scarab
c4192 ScarabExtraLarge
c4200 Bat
c4201 OldwomanBat
c4210 StormHawk
c4220 GroundTaco
c4230 GroundTacoJr
c4240 FingerSpider
c4250 FingerSpiderJr
c4260 Burial Tree Watchdog
c4270 OldLionOfArena
c4280 PodAnt
c4290 Bloodhound Knight Darriwil
c4300 UncoverTombNobleMan
c4310 RoamArmy
c4311 Soldier of Godrick
c4320 RoamLowSoldier
c4321 RoamLowSoldierChild
c4340 PumpkinHead
c4341 PumpkinHead
c4350 N/A
c4351 RoamKnightEZ
c4353 RoamKnightRC
c4354 RoamKnightPL
c4355 RoamKnightMP
c4356 RoamKnightMI
c4358 RoamKnightIN
c4361 RoamHorseEZ
c4370 RoamCommonSoldiers
c4371 N/A
c4380 Destructionsinto
c4381 DestructionsintoFire
c4382 DeadMinerOreDigging
c4383 DeadMinerJewelryCarving
c4384 DeadMinerJewelryCarvingBig
c4385 DestructionsintoPoison
c4410 HorseGiant
c4420 Zarigani
c4430 AliveStone
c4440 Rikuhoya
c4441 RikuhoyaBig
c4450 WalkShrine
c4460 Ganmen
c4470 KidnapMachine
c4480 RuneFlowerBig
c4481 RuneFlowerLittle
c4490 AlivePot
c4491 AlivePotSmall
c4492 AlivePotExtraLarge
c4500 Flying Dragon Agheel
c4501 RotWyvern
c4502 MagicWyvern
c4503 IceWyvern
c4510 GuardianDescendant
c4520 ElderDragon
c4550 TyrannoDog
c4560 TyrannoRaven
c4570 Deracine_Male
c4580 Deracine_Female
c4600 Stonedigger Troll
c4601 Troll_RoyalKnight
c4602 Troll_Yeti
c4603 Troll_Mine
c4610 Umibozu
c4620 Astile
c4630 RuneBear
c4640 Ulcerated Tree Spirit
c4650 Devastationer
c4660 Guardian Golem
c4670 Ancestor
c4680 MeteoriteBeast
c4690 GraftSpider
c4710 KingGhoul
c4720 GodFrey
c4721 GodFrey
c4730 RadarnAndLeonard
c4750 GraftKing
c4751 N/A
c4760 Giant
c4770 CastleGargoyle
c4800 GreaterDemon
c4810 WorldTreeDemon
c4820 Slaughter
c4910 king_grounddragon
c4950 Nightking_Kennzoku
c4951 Nightking_Kennzoku
c4960 Nightking_Kennzoku_Skeleton
c4980 BirdoftheDeath
c6000 Bird
c6001 N/A
c6010 Deer
c6020 WildHorse
c6030 Bear
c6031 N/A
c6040 Wildowl
c6050 Wildboar
c6060 Wildsheep
c6070 Wildguillemots
c6071 CarrierPigeon
c6072 N/A
c6080 Wilddragonfly
c6081 N/A
c6090 Tortoises
c6100 Springhare
c7000 BuddyStandard
c7100 BuddyUnique
c8000 Torrent
c8100 N/A
c8101 N/A
c9000 VaristorTest
c9100 Skeleton
c9200 GHOST
c9055 PierreTest
c9800 katotTest
c9801 sawatTest
